0 1:-0.384672 2:12.9994 3:-0.445847 4:15.1652 5:-0.272497 6:9.62204 7:-0.251136 8:6.40863 9:-0.288035 10:7.84119
0 1:-0.0249169 2:5.74137 3:-0.0721623 4:5.24108 5:-0.0948671 6:6.88911 7:-0.166503 8:5.62403 9:-0.383443 10:8.66622
0 1:-0.228735 2:6.60956 3:-0.152403 4:4.47124 5:-0.501427 6:9.49261 7:-0.284823 8:5.44575
0 1:-0.329716 2:6.26783 3:-0.307038 4:6.71885 5:-0.234477 6:6.76352 7:-0.325501 8:5.52064 9:-0.367273 10:7.57593
0 1:-0.311731 2:5.81233 3:-0.751757 4:16.4325 5:-0.188647 6:4.91509 7:-0.330862 8:5.72794 9:-0.16498 10:4.33836
0 1:-0.727226 2:14.187 3:-0.240156 4:5.66368 5:-0.447709 6:12.6877 7:-0.223347 8:5.5874 9:-0.346479 10:6.65659
0 1:-0.379256 2:9.02132 3:-0.322204 4:7.36713 5:-0.369481 6:12.8341 7:-0.524775 8:9.27764 9:-0.577597 10:8.75078
0 1:-0.447965 2:8.79407 3:-0.226685 4:6.20377 5:-0.269328 6:7.21778 7:-0.930003 8:12.9985 9:-0.31755 10:4.28164
0 1:-0.364108 2:5.49153 3:-0.527483 4:8.14114 5:-0.443458 6:7.2926 7:-0.48704 8:4.68497
0 1:-0.936648 2:24.1073 3:-0.359934 4:4.6969 5:-0.415555 6:6.70808 7:-0.393488 8:6.39675 9:-0.460084 10:9.24287
0 1:-0.247848 2:6.0039 3:-0.452578 4:6.4501 5:-0.25347 6:7.93801 7:-0.486057 8:8.23435
0 1:-0.314031 2:5.89437 3:-0.215922 4:6.2036 5:-0.343853 6:4.7632 7:-0.21651 8:6.56001 9:-0.262008 10:5.51132
0 1:-0.267985 2:6.40612 3:-0.898022 4:21.1478 5:-1.03409 6:21.1812 7:-0.20646 8:7.2789 9:-0.293873 10:13.0562
0 1:-0.24015 2:7.65678 3:-0.20648 4:7.18769 5:-0.488306 6:10.3323 7:-0.232017 8:5.85022 9:-0.452131 10:13.1141
0 1:-0.689406 2:8.28841 3:-0.508859 4:8.57548 5:-0.853038 6:12.172 7:-0.327601 8:8.17405 9:-1.28115 10:28.7439
0 1:-0.346243 2:8.18468 3:-0.649275 4:12.7812 5:-0.272257 6:7.0369 7:-0.346568 8:8.22793 9:-0.392845 10:9.71987
0 1:-0.341859 2:6.91047 3:-0.966753 4:17.1086 5:-0.855955 6:14.7467 7:-0.234297 8:9.17547 9:-0.436574 10:11.3986
0 1:-0.432495 2:9.05331 3:-0.264719 4:5.99962 5:-0.197451 6:6.04747 7:-0.604504 8:13.1113 9:-0.354226 10:6.72727
0 1:-0.227698 2:7.4015 3:-0.515016 4:12.3321 5:-0.525586 6:11.0303 7:-0.234298 8:5.94847 9:-0.541685 10:12.1909
0 1:-0.365882 2:7.8987 3:-0.663901 4:8.78304 5:-0.36989 6:9.03064 7:-0.302668 8:10.2231 9:-0.470654 10:8.42267
0 1:-0.310922 2:8.75016 3:-0.551468 4:10.0944 5:-0.193251 6:6.12436 7:-0.654291 8:13.7274 9:-0.230358 10:5.93052
1 1:0.0142387 2:5.12625 3:0.0876245 4:2.51193 5:0.180859 6:1.98426 7:0.131281 8:3.22363 9:0.0579787 10:2.7433
1 1:0.127916 2:1.97786 3:0.0984581 4:2.72148 5:0.0947708 6:2.61914 7:0.105456 8:1.95222 9:0.138307 10:3.4935
1 1:0.0265156 2:2.80653 3:-0.115925 4:4.90864 5:-0.0185241 6:2.62561 7:-0.0394529 8:3.37157 9:-0.0939436 10:2.22135
1 1:0.094884 2:2.69313 3:0.0507036 4:2.59849 5:0.0702724 6:2.11035 7:0.0576777 8:2.75378 9:0.149922 10:2.18427
1 1:0.115462 2:2.12024 3:0.193455 4:1.59941 5:0.136024 6:2.01818 7:0.0873262 8:1.95787 9:0.125545 10:1.59333
1 1:0.203146 2:2.23168 3:-0.142094 4:1.78081 5:0.00552076 6:1.88253 7:0.170436 8:1.95696 9:0.116274 10:2.10101
1 1:0.178607 2:2.49724 3:0.083553 4:2.04162 5:0.0543049 6:2.59179 7:-0.485756 8:10.2195 9:-0.0568814 10:2.87208
1 1:-0.403547 2:2.63999 3:0.0303839 4:1.76502 5:0.0835 6:1.99806 7:0.146799 8:2.23328 9:0.0527639 10:2.8804
1 1:-0.0113775 2:1.75591 3:0.0628356 4:1.84115 5:0.0533847 6:2.25524 7:0.0459054 8:2.18761 9:-0.0249856 10:5.98341
1 1:0.0582357 2:2.4884 3:0.111728 4:1.76019 5:0.172157 6:1.81113 7:0.131019 8:2.37951 9:0.192447 10:1.23581
1 1:0.168491 2:3.01064 3:0.161989 4:2.17275 5:0.0335103 6:2.16626 7:0.136996 8:2.02885 9:0.130924 10:2.85269
1 1:-0.0555137 2:1.93474 3:-0.0260876 4:2.03928 5:0.0357813 6:1.4875 7:-0.159566 8:1.93807 9:-0.455655 10:7.94915
